#グループを作った際にそれまでの探索で見つけた候補ルートを一度削除してみた
|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
53 0.9504752376 1.2486243122 0.0201115481 1.20000000 162.20000000 134.20000000
54 0.9584792396 1.2471235618 0.0246064008 1.40000000 160.60000000 129.60000000
55 0.9559779890 1.1985992996 0.0211297324 1.80000000 159.80000000 127.80000000
56 0.9554777389 1.0655327664 0.0165442349 1.40000000 159.80000000 129.40000000
57 0.9544772386 1.0325162581 0.0147499637 1.40000000 159.60000000 129.20000000
58 0.9569784892 0.9494747374 0.0131878790 1.40000000 159.60000000 129.20000000
59 0.9579789895 0.9394697349 0.0130922900 1.20000000 159.60000000 129.20000000
access %, disaccess %
0.00928238617269598, 0.0797845309482671
|M| = 10
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ, ave_member_used ave_member_used_M=0
00 0.8394197099 5.3521760880 0.1368086598 0.00000000 0.00000000 0.00000000
01 0.8869434717 2.2551275638 0.0316770306 0.00000000 0.00000000 0.00000000
02 0.8949474737 1.8369184592 0.0213869662 0.00000000 0.00000000 0.00000000
03 0.9069534767 1.7413706853 0.0194036616 0.00000000 0.00000000 0.00000000
04 0.9029514757 1.6488244122 0.0149078772 0.00000000 0.00000000 0.00000000
05 0.9074537269 1.6008004002 0.0149693515 0.00000000 0.00000000 0.00000000
06 0.9114557279 1.5872936468 0.0137935114 0.00000000 0.00000000 0.00000000
07 0.9094547274 1.6368184092 0.0140019255 0.00000000 0.00000000 0.00000000
08 0.9219609805 1.5747873937 0.0176076807 0.00000000 0.00000000 0.00000000
09 0.9249624812 1.4807403702 0.0146190327 0.00000000 0.00000000 0.00000000
10 0.9229614807 1.4837418709 0.0145670747 0.00000000 0.00000000 0.00000000
11 0.9244622311 1.4872436218 0.0134958981 0.00000000 0.00000000 0.00000000
