|M| = 0
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
13 0.8259129565 0.4296791253 0.0061162632 0.00000000
14 0.8279139570 0.3984325496 0.0057363112 0.00000000
15 0.8304152076 0.3715920460 0.0053384612 0.00000000
16 0.8089044522 0.3590618839 0.0049150269 0.00000000
17 0.7883941971 0.3463120449 0.0045674464 0.00000000
18 0.7823911956 0.3268739633 0.0042298639 0.00000000
19 0.8089044522 0.3035017509 0.0042375352 0.00000000
20 0.7908954477 0.2934562519 0.0038736125 0.00000000
21 0.7923961981 0.2796625586 0.0037317991 0.00000000
22 0.7963981991 0.2668725667 0.0036064917 0.00000000
23 0.8049024512 0.2508754377 0.0034936571 0.00000000
24 0.8074037019 0.2382791396 0.0033831002 0.00000000
25 0.8064032016 0.2286912687 0.0032408197 0.00000000
26 0.8054027014 0.2198321383 0.0031044110 0.00000000
27 0.8134067034 0.2101229186 0.0030719366 0.00000000
28 0.8229114557 0.1990132998 0.0029857932 0.00000000
29 0.8279139570 0.1908454227 0.0028848997 0.00000000
30 0.8499249625 0.1766367054 0.0030361547 9.30000000
31 0.8484242121 0.1712731366 0.0029656431 9.40000000
32 0.8414207104 0.1686600876 0.0028645587 10.40000000
33 0.8454227114 0.1630374011 0.0027939551 10.10000000
34 0.8459229615 0.1590938326 0.0027233155 9.80000000
35 0.8474237119 0.1546606637 0.0026919857 8.90000000
36 0.8489244622 0.1500479970 0.0026432868 9.50000000
37 0.8574287144 0.1447170954 0.0026446786 9.10000000
38 0.8489244622 0.1428149972 0.0025569780 9.70000000
39 0.8549274637 0.1380690345 0.0024944805 10.10000000
40 0.8574287144 0.1339206188 0.0024014968 10.10000000
41 0.8609304652 0.1276947998 0.0023759091 9.50000000
42 0.8644322161 0.1254464442 0.0022905592 9.80000000
43 0.8629314657 0.1234253490 0.0022381850 10.20000000
44 0.8629314657 0.1197376466 0.0021823131 10.10000000
45 0.8604302151 0.1175805294 0.0021136443 10.80000000
46 0.8664332166 0.1139399487 0.0021263126 10.70000000
47 0.8689344672 0.1111389028 0.0020740066 10.70000000
48 0.8699349675 0.1087278333 0.0020385744 10.60000000
49 0.8739369685 0.1058029015 0.0019824723 10.90000000
50 0.8769384692 0.1019921726 0.0019783203 10.40000000
51 0.8739369685 0.1005406549 0.0019256774 11.10000000
52 0.8769384692 0.0981717274 0.0018897892 10.50000000
53 0.8749374687 0.0960758157 0.0018617641 10.70000000
54 0.8969484742 0.0898540179 0.0019370969 10.30000000
55 0.8924462231 0.0892678482 0.0018768968 11.00000000
56 0.8919459730 0.0881405615 0.0018468154 10.90000000
57 0.8934467234 0.0865518966 0.0018263762 11.00000000
58 0.8934467234 0.0850849153 0.0018072093 10.90000000
59 0.8919459730 0.0857428714 0.0017589284 11.50000000
access %, disaccess %
0.015319985161270916, 0.07059056482352359
|M| = 15
make network |V|=2000 |E|=4000
                not_group                          group  
t, Accessible, ave_query, ave_time, TABLE_REQ
00 0.8409204602 5.4392196098 0.0950943640 0.00000000
01 0.7428714357 3.3274137069 0.0371959343 0.00000000
02 0.7343671836 2.2372853093 0.0248210426 0.00000000
03 0.7523761881 1.6529514757 0.0188617883 0.00000000
04 0.7768884442 1.2830415208 0.0158086915 0.00000000
